Pericope,Matthew,Mark,Luke,John
The Call of the First Disciples,,,,1:35-51
The Marriage at Cana,,,,2:1-11
The Sojourn at Capernaum,,,,2:12
The First Journey to Jerusalem,,,,2:13
The First Cleansing of the Temple,,,,2:14-22
Jesus' Ministry in Jerusalem,,,,2:23-25
The Discourse with Nicodemus,,,,3:1-21
Jesus' Ministry in Judea,,,,3:22
John's Testimony to Christ,,,,3:23-36
