Pericope,Matthew,Mark,Luke,John
John the Baptist,3:1-6,1:2-6,3:1-6,1:19-23
John's Preaching of Repentance,3:7-10,,3:7-9,
John Preaching and Replies to Questioners,,,3:10-14,
John's Messianic Preaching,3:11-12,1:7-8,3:15-18,1:24-28
The Imprisonment of John,14:3-4,6:17-18,3:19-20,
The Baptism of Jesus,3:13-17,1:9-11,3:21-22,1:29-34
The Genealogy of Jesus,1:1-17,,3:23-38,
The Temptation,4:1-11,1:12-13,4:1-13,
